Problem type:
least_squares
nparams:
1
function_evaluation,seconds,x(0),objective_function
     0,  1.4835e+01, -1.0000000000000000e+04,  7.1840508648867791e+00
     1,  3.0089e+01, -1.0000000000000000e+04,  7.1840508648867791e+00
     2,  4.5205e+01, -1.0000000000000000e+04,  7.1840508648867791e+00
     3,  6.0132e+01, -9.9999998509883881e+03,  7.1840508809913670e+00
     4,  9.3175e+01, -1.1773467430515331e+05,  1.4106514257560430e+00
     5,  1.2578e+02, -1.1773467255076996e+05,  1.4106514544200894e+00
     6,  1.6952e+02, -1.6115931392740886e+05,  1.0399111204403906e+00
     7,  2.1326e+02, -1.6115931152594794e+05,  1.0399111257688418e+00
     8,  2.5806e+02, -1.7055512897718512e+05,  1.0286593695023654e+00
     9,  3.0247e+02, -1.7055512643571565e+05,  1.0286593700920519e+00
    10,  3.4751e+02, -1.7165021764096050e+05,  1.0285198963663198e+00
    11,  3.9254e+02, -1.7165021508317295e+05,  1.0285198964270308e+00
    12,  4.3762e+02, -1.7176333250644209e+05,  1.0285184112924191e+00
    13,  4.8277e+02, -1.7176332994696900e+05,  1.0285184112986148e+00
    14,  5.2771e+02, -1.7177487979236091e+05,  1.0285183953404851e+00
    15,  5.7285e+02, -1.7177487723271575e+05,  1.0285183953411490e+00
    16,  6.1778e+02, -1.7177611626312337e+05,  1.0285183951212795e+00
    17,  6.6283e+02, -1.7177611626312337e+05,  1.0285183951212795e+00
    18,  7.0800e+02, -1.7177715644557143e+05,  1.0285183951600738e+00
    19,  7.5323e+02, -1.7177507608067532e+05,  1.0285183952862871e+00
